gene_accession_id,MGI:1913284
gene_symbol,Psmd14
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_065_001
pvalue,0.07881778
parameter_name,Lumbar processes
analysis_id,7x4ntipy375cc0g
