analysis_id,xl9oa5k0p41iw1k
parameter_id,MGP_IMM_020_001
parameter_name,Effector gd T cells - % of gd T cells
mouse_strain,C57BL
gene_accession_id,MGI:1914061
gene_symbol,Duoxa2
pvalue,0
mouse_life_stage,Early adult
