parameter_name,110dB startle magnitude
analysis_id,vj0rn3p23z5b8z3
gene_symbol,Gja10
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_006
mouse_strain,C57BL
pvalue,0.9580227
gene_accession_id,MGI:1339969
