analysis_id,6vcc140ndg6m2ak
parameter_name,Liver weight
parameter_id,UCD_OWT_008_001
pvalue,0.7412762
gene_symbol,Rgs20
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1929866
