parameter_name,B cell number
pvalue,0.08009905
gene_symbol,Sfpq
parameter_id,MGP_PBI_034_001
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,0b8p90503xw28r0
