parameter_name,Forebrain
parameter_id,IMPC_GEL_028_001
analysis_id,i6ift27743nc5te
gene_symbol,Kifap3
mouse_life_stage,Early adult
pvalue,0.6919373
gene_accession_id,MGI:107566
mouse_strain,C57BL
