analysis_id,hdl8c129e6202i3
gene_accession_id,MGI:1927379
parameter_name,Phosphorus
gene_symbol,Rhbg
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8713882
parameter_id,IMPC_CBC_010_001
