parameter_name,Hindlimb digit - size
pvalue,0.5782384
mouse_life_stage,Early adult
gene_symbol,Trp53rkb
mouse_strain,C57BL
parameter_id,IMPC_CSD_047_001
analysis_id,978z044h4gh402j
gene_accession_id,MGI:1914050
