analysis_id,dkg93565p4pp4ar
parameter_name,center - resting time
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_011
gene_accession_id,MGI:1915678
gene_symbol,Steap3
pvalue,0.8668922
