gene_symbol,Bmi1
parameter_name,Lean mass
analysis_id,h476848st194wg2
mouse_strain,C57BL
gene_accession_id,MGI:88174
parameter_id,JAXLA_DXA_003_001
mouse_life_stage,E12.5
pvalue,0.9242367
