analysis_id,21sq4870z3p4h82
mouse_strain,C57BL
pvalue,0.3470777
gene_symbol,Car13
parameter_id,MGP_MLN_074_001
parameter_name,Effector CD8+ T cells - % of CD45+
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
