gene_symbol,Traf6
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Coat - hair distribution - head
parameter_id,IMPC_CSD_012_001
pvalue,0.7296828
analysis_id,6lsscr534kl7t68
