parameter_name,Periphery distance travelled
gene_accession_id,MGI:88380
parameter_id,HRWLLA_OFD_010_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,F2
pvalue,0.8320064
analysis_id,s83j7959tkfjt27
