analysis_id,and7m8422rc2k97
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_036_001
parameter_name,Startle response
gene_symbol,Frmpd1
pvalue,0.2219297
mouse_strain,C57BL
