gene_symbol,Mgst2
mouse_life_stage,Early adult
gene_accession_id,MGI:2448481
pvalue,0.4003765
analysis_id,x6hoqp66gs653rz
parameter_id,IMPC_IMM_067_001
parameter_name,Follicular B Cells (CD21/35+)
mouse_strain,C57BL
