parameter_name,Gait
analysis_id,8y589954a07ge65
parameter_id,IMPC_CSD_033_001
gene_symbol,Mapkap1
mouse_strain,C57BL
gene_accession_id,MGI:2444554
mouse_life_stage,E15.5
pvalue,0.09096349
