parameter_name,Hindlimbs - shape
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_021_001
gene_accession_id,MGI:1933159
mouse_strain,C57BL
analysis_id,4696168t6o6d1zu
pvalue,0.5046513
gene_symbol,Rnf114
