parameter_name,Caudal processes
gene_symbol,Snrpb2
pvalue,0.6440392
parameter_id,IMPC_XRY_067_001
mouse_strain,C57BL
analysis_id,mt3023mz69dlr6l
mouse_life_stage,Early adult
gene_accession_id,MGI:104805
