analysis_id,j68f98ow53em250
mouse_strain,C57BL
gene_symbol,Slc39a10
parameter_id,IMPC_DXA_003_001
mouse_life_stage,Early adult
pvalue,0.9402361
gene_accession_id,MGI:1914515
parameter_name,Lean mass
