parameter_name,Forebrain
analysis_id,58eorcv4u8cyy9l
gene_accession_id,MGI:1914309
pvalue,0.5070812
parameter_id,IMPC_GEL_028_001
mouse_strain,C57BL
gene_symbol,Ola1
mouse_life_stage,Early adult
