gene_symbol,Rnf114
mouse_life_stage,Early adult
analysis_id,joh70bqng8vl6a0
mouse_strain,C57BL
gene_accession_id,MGI:1933159
pvalue,0.8274446
parameter_id,MGP_IMM_129_001
parameter_name,CD11b-high cDC - % of CD45+
