analysis_id,5ud0dsubd7084z9
gene_symbol,Duoxa2
mouse_life_stage,Early adult
parameter_name,Snout morphology
gene_accession_id,MGI:1914061
parameter_id,MGP_CSD_066_001
mouse_strain,C57BL
pvalue,4.054342e-20
