analysis_id,kt12jg2p92pwi11
mouse_life_stage,E9.5
gene_accession_id,MGI:1915087
parameter_id,IMPC_HEM_027_001
parameter_name,Red blood cell distribution width
gene_symbol,Tiprl
pvalue,0.07350974
mouse_strain,C57BL
