gene_symbol,Uckl1
analysis_id,v77375nwesofwr7
gene_accession_id,MGI:1915806
parameter_id,MGP_MLN_064_001
parameter_name,Total CD4+ T cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3533476
