gene_symbol,Rgs20
parameter_name,Body position
mouse_strain,C57BL
analysis_id,51w53gq99703068
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_001
pvalue,0.8987183
gene_accession_id,MGI:1929866
