parameter_id,IMPC_OWT_004_001
pvalue,0.956711
mouse_life_stage,Early adult
analysis_id,b14kk839ux412h0
mouse_strain,C57BL
gene_accession_id,MGI:1923959
parameter_name,Right kidney weight
gene_symbol,Arpc2
