parameter_name,Others
parameter_id,IMPC_IMM_006_001
analysis_id,g20nya2p59e4jmm
mouse_strain,C57BL
gene_accession_id,MGI:109356
gene_symbol,Snap23
pvalue,0.3442904
mouse_life_stage,Late adult
