parameter_name,Creatinine
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
pvalue,0.7126507
gene_symbol,Sdcbp2
analysis_id,8n1748yt9jkp25t
mouse_strain,C57BL
parameter_id,IMPC_CBC_005_001
