gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
pvalue,0.5776603
mouse_life_stage,Early adult
analysis_id,422suq5c5f5r722
parameter_id,IMPC_EYE_059_001
mouse_strain,129SV
parameter_name,Mean right eye lens density
