parameter_name,Lens Opacity
pvalue,0.2117771
gene_symbol,BACH2
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
parameter_id,IMPC_EYE_017_001
mouse_strain,C57BL
analysis_id,i15kvqq9hv1hwr9
