parameter_name,NKT cells (panel A)
parameter_id,IMPC_IMM_004_001
mouse_life_stage,Early adult
analysis_id,31jy02ex5dcmw95
mouse_strain,C57BL
gene_symbol,Col6a3
pvalue,0.4815815
gene_accession_id,MGI:88461
