parameter_name,Mean platelet volume
gene_symbol,Dnajc5b
mouse_strain,C57BL
parameter_id,IMPC_HEM_019_001
gene_accession_id,MGI:1913576
analysis_id,3110yf92hltwz6g
mouse_life_stage,Early adult
pvalue,0.2205575
