analysis_id,e7j3ga0pa1n6v21
parameter_id,IMPC_CBC_008_001
gene_accession_id,MGI:88328
pvalue,0.7231826
mouse_life_stage,Early adult
parameter_name,Total bilirubin
gene_symbol,Tnfsf8
mouse_strain,C57BL
