gene_symbol,Ppm1j
analysis_id,63hj6y1b32020q5
mouse_life_stage,Early adult
pvalue,0.4429829
parameter_id,JAXLA_OFD_020_001
gene_accession_id,MGI:1919137
mouse_strain,C57BL
parameter_name,Distance travelled - total
