mouse_strain,129SV
parameter_id,JAX_OFD_020_001
pvalue,0.2782725
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
analysis_id,4039do4o21z1x2i
parameter_name,Distance travelled - total
