gene_symbol,Eprs1
parameter_id,IMPC_EYE_004_001
gene_accession_id,MGI:97838
mouse_strain,C57BL
pvalue,0.5056862
parameter_name,Eyelid morphology
analysis_id,o183831ijqmz4el
mouse_life_stage,Early adult
