gene_symbol,Fpgs
mouse_strain,C57BL
parameter_name,Potassium
parameter_id,GMC_906_001_005
mouse_life_stage,Early adult
pvalue,0.5832203
gene_accession_id,MGI:95576
analysis_id,k7gftngs4rfr17i
