gene_symbol,Sgip1
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
parameter_name,Triglycerides
parameter_id,HMGULA_CBC_017_001
mouse_strain,C57BL
pvalue,0.7284335
analysis_id,4p4ag2642z89111
