gene_symbol,Sema6c
mouse_strain,C57BL
pvalue,0.49015
gene_accession_id,MGI:1338032
analysis_id,zn3105nj5043k2i
mouse_life_stage,Early adult
parameter_name,Triglycerides
parameter_id,HMGULA_CBC_017_001
