gene_symbol,Ints7
analysis_id,iz7y65d044b03d3
parameter_name,End-Systolic Diameter
mouse_strain,C57BL
parameter_id,IMPC_ECH_001_001
pvalue,0.6969678
mouse_life_stage,E9.5
gene_accession_id,MGI:1924315
