analysis_id,6436slfa1jz34yp
parameter_name,Right kidney weight
mouse_life_stage,Early adult
pvalue,0.9082161
parameter_id,IMPC_OWT_004_001
mouse_strain,C57BL
gene_symbol,Rhbg
gene_accession_id,MGI:1927379
