analysis_id,297wh07ly872gw1
mouse_strain,C57BL
parameter_name,cDCs CD11b Type
gene_accession_id,MGI:95576
gene_symbol,Fpgs
parameter_id,IMPC_IMM_073_001
mouse_life_stage,Early adult
pvalue,0.3727898
