analysis_id,84law74499o83jz
parameter_name,Radius
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_022_001
pvalue,0.1496876
gene_symbol,Ap5s1
gene_accession_id,MGI:1916846
mouse_strain,C57BL
