analysis_id,b7p2raz34b96b5j
mouse_life_stage,Middle aged adult
parameter_id,IMPC_ACS_036_001
gene_accession_id,MGI:1345282
pvalue,0.05310506
parameter_name,% Pre-pulse inhibition - PPI4
mouse_strain,C57BL
gene_symbol,Slc30a4
