analysis_id,407p9cz22vg974w
pvalue,0.8707053
parameter_id,IMPC_IMM_051_001
parameter_name,Monocytes
gene_symbol,Golm2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
