analysis_id,293j349dsnahk5r
mouse_strain,C57BL
pvalue,0.2912073
parameter_name,KLRG1+ NK cells - % of NK cells
mouse_life_stage,Early adult
gene_accession_id,MGI:107414
gene_symbol,Tnfsf10
parameter_id,MGP_IMM_036_001
