parameter_name,Periphery distance travelled
parameter_id,IMPC_OFD_010_001
pvalue,0.7251778
gene_accession_id,MGI:95835
mouse_life_stage,E9.5
mouse_strain,C53BL
analysis_id,1846r8w2r11lptf
gene_symbol,Hspa5
