parameter_name,Pale yolk sac
mouse_life_stage,Early adult
analysis_id,k8we10786f70771
gene_symbol,Dhdds
mouse_strain,C57BL
parameter_id,IMPC_GEL_017_002
gene_accession_id,MGI:1914672
pvalue,0.6414922
