analysis_id,18e59d7joel842t
mouse_strain,C59BL
parameter_id,JAXLA_CSD_007_001
gene_accession_id,MGI:1915062
gene_symbol,Ubxn4
parameter_name,Coat - color - abdomen
mouse_life_stage,Late adult
pvalue,0.6976169
