gene_symbol,Nr0b2
pvalue,0.988192
mouse_strain,B6J
analysis_id,58i0075q727ridc
parameter_id,IMPC_IMM_032_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
parameter_name,CD8 CD44+CD62L- T cells
