gene_symbol,Ivd
parameter_id,IMPC_CSD_011_001
parameter_name,Coat - hair distribution - back
gene_accession_id,MGI:1929242
pvalue,0.8651999
analysis_id,1wp8480o8n3zgma
mouse_life_stage,Early adult
mouse_strain,C57BL
