gene_symbol,Mroh9
analysis_id,x3k862z4t5j1qbw
mouse_strain,C56BL
parameter_id,IMPC_IMM_004_001
pvalue,0.6103978
parameter_name,NKT cells (panel A)
gene_accession_id,MGI:1925508
mouse_life_stage,Early adult
