gene_symbol,Tnfsf8
analysis_id,30m09q3bba55bob
pvalue,0.588232
mouse_strain,C57BL
gene_accession_id,MGI:88328
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_006_001
parameter_name,Others
