analysis_id,86794w8c7nut33g
gene_symbol,AU040320
parameter_id,MGP_PBI_002_001
mouse_strain,C57BL
gene_accession_id,MGI:2140475
mouse_life_stage,Early adult
pvalue,0.24977
parameter_name,Alpha beta T cell percentage
