analysis_id,1v26m4m4066o6z0
gene_symbol,Slc28a2
mouse_strain,C57BL
gene_accession_id,MGI:1913105
pvalue,0.7983315
mouse_life_stage,Early adult
parameter_name,Anophthalmia
parameter_id,IMPC_GEO_048_002
