gene_symbol,Gpbp1l1
pvalue,0.6743816
parameter_id,IMPC_XRY_025_001
gene_accession_id,MGI:1924360
parameter_name,Tibia
mouse_strain,C57BL
analysis_id,nt4j501h3w2oi28
mouse_life_stage,Early adult
