mouse_strain,129SV
gene_accession_id,MGI:104848
parameter_name,Forelimb grip strength normalised against body weight
mouse_life_stage,Early adult
pvalue,0.8452166
gene_symbol,Inpp1
analysis_id,mbk6bk9zd1esy64
parameter_id,IMPC_GRS_010_001
