parameter_name,Mean corpuscular hemoglobin
pvalue,0.7703122
gene_accession_id,MGI:1332236
parameter_id,IMPC_HEM_006_001
analysis_id,8cg514pe883691i
mouse_strain,129SV
mouse_life_stage,Early adult
gene_symbol,Cds2
