analysis_id,afq63w6v20odlz6
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Basophil differential count
gene_accession_id,MGI:2140475
gene_symbol,AU040320
pvalue,0.2669331
parameter_id,IMPC_HEM_038_001
