parameter_name,Total cholesterol
gene_symbol,Slc39a10
mouse_strain,C57BL
pvalue,0.4712801
gene_accession_id,MGI:1914515
mouse_life_stage,E9.5
analysis_id,02d6pcx23e5584t
parameter_id,IMPC_CBC_015_001
