analysis_id,v43684p1512q304
mouse_strain,C57BL
parameter_name,Cholesterol ratio
gene_accession_id,MGI:1925049
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_058_001
pvalue,0.2570909
gene_symbol,SLA2
