parameter_id,JAXLA_CBC_015_001
parameter_name,Total cholesterol
mouse_strain,C57BL
gene_accession_id,MGI:1915524
pvalue,0.1143599
gene_symbol,Toporsl
mouse_life_stage,Early adult
analysis_id,0947qe9561f6e93
