gene_symbol,Zcchc2
gene_accession_id,MGI:2444114
parameter_id,IMPC_GEL_057_001
parameter_name,Heart looping
mouse_strain,C57BL
pvalue,0.9273555
analysis_id,6l2gjns09761042
mouse_life_stage,Early adult
