analysis_id,w797lxxc1784e72
parameter_name,Mean cell volume
parameter_id,ESLIM_016_001_005
gene_accession_id,MGI:1914515
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.5785704
gene_symbol,Slc39a10
